-0.1788386155	5.5183486239	5.51
-0.1820913261	5.1330275229
-0.1831234362	4.376146789
0.023911593	2.2018348624	3.08
0.0772560467	1.3211009174
0.131501251	1.1009174312
0.1775271059	0.8532110092
0.2263740617	0.6743119266
0.2780608841	0.5779816514
0.3297477064	0.4816513761
0.3815095913	0.4403669725
0.4307506255	0.5504587156
0.4825312761	0.5229357798
0.5342368641	0.4403669725
0.5887260217	0.3990825688
0.6433090075	0.4266055046
0.6925312761	0.5229357798
0.7415658882	0.4816513761
0.7906005004	0.4403669725
0.8370016681	0.4678899083
0.8914532944	0.3990825688
0.9406943286	0.5091743119	0.37
